ID	F(x) - ANF	F(x) - Univariate F_2^7	Exponents	Status	Note
113	x0*x1+x1*x2+x2*x3+x0*x4+x1*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x4*x6+x0+x1+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
114	x0*x1+x1*x2+x0*x3+x1*x3+x1*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x0+x1+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
115	x1*x3+x2*x3+x1*x4+x2*x4+x3*x4+x1*x5+x3*x5+x1*x6+x2*x6+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
116	x0*x1+x0*x3+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x5*x6+x1+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
117	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x2*x4+x3*x4+x2*x5+x4*x5+x0*x6+x2*x6+x5*x6+x1+x2+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
118	x0*x1+x0*x2+x2*x4+x3*x4+x1*x5+x3*x5+x4*x5+x0*x6+x3*x6+x4*x6+x0+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
119	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x5*x6+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
120	x0*x2+x1*x2+x1*x3+x0*x4+x0*x5+x2*x5+x1*x6+x2*x6+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
121	x0*x1+x0*x2+x1*x5+x3*x5+x0*x6+x3*x6+x4*x6+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
122	x1*x3+x2*x3+x1*x4+x2*x4+x3*x4+x1*x5+x3*x5+x1*x6+x2*x6+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
123	x0*x1+x0*x2+x1*x2+x1*x3+x1*x4+x2*x5+x4*x5+x0*x6+x2*x6+x5*x6+x0+x1+x2+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
124	x0*x2+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x5*x6+x0+x1+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
125	x0*x1+x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x1*x4+x1*x5+x3*x5+x4*x5+x0*x6+x3*x6+x4*x6+x1+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
126	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x2*x4+x3*x4+x2*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
127	x0*x3+x0*x4+x1*x5+x3*x5+x1*x6+x2*x6+x0+x2+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
128	x0*x1+x1*x3+x2*x3+x0*x4+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x1+x2+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
129	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x4*x6+x5*x6+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
130	x0*x2+x0*x3+x1*x3+x2*x3+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x5*x6+x0+x1	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
131	x0*x2+x1*x2+x1*x3+x0*x4+x1*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x4*x6+x1+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
132	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x1*x4+x2*x5+x4*x5+x0*x6+x2*x6+x5*x6+x0+x1+x2+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
133	x0*x1+x1*x2+x0*x3+x1*x3+x0*x4+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x1+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
134	x0*x2+x0*x3+x1*x3+x2*x3+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x1+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
135	x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x0+x1+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
136	x0*x1+x0*x2+x1*x2+x1*x3+x0*x4+x2*x4+x3*x4+x2*x5+x4*x5+x0*x6+x2*x6+x5*x6+x1+x2+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
137	x0*x1+x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x1*x4+x2*x4+x3*x4+x1*x5+x3*x5+x0*x6+x3*x6+x4*x6+x0+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
138	x0*x1+x0*x2+x1*x2+x1*x3+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x5*x6+x2+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
139	x0*x2+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x2+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
140	x0*x1+x0*x3+x1*x4+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x0*x6+x2*x6+x5*x6+x0+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
141	x0*x1+x1*x2+x2*x3+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x0*x6+x3*x6+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
142	x0*x1+x1*x3+x2*x3+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x5*x6+x1+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
143	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x1*x4+x2*x5+x4*x5+x0*x6+x2*x6+x5*x6+x0+x1+x2+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
144	x0*x1+x0*x2+x1*x4+x2*x4+x3*x4+x1*x5+x3*x5+x0*x6+x3*x6+x0+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
145	x0*x2+x1*x2+x1*x3+x1*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x1	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
146	x0*x3+x1*x4+x2*x4+x3*x4+x1*x5+x3*x5+x1*x6+x2*x6+x2+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
147	x0*x2+x1*x2+x1*x3+x0*x4+x0*x5+x2*x5+x1*x6+x2*x6+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
148	x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x5*x6+x0+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
149	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x1*x4+x2*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x0+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
150	x0*x1+x1*x2+x2*x3+x1*x4+x0*x5+x2*x5+x4*x5+x0*x6+x3*x6+x0+x1+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
151	x1*x2+x0*x3+x1*x3+x0*x4+x1*x4+x2*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x1+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
152	x0*x1+x0*x2+x1*x5+x3*x5+x0*x6+x3*x6+x4*x6+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
153	x0*x1+x0*x2+x0*x4+x1*x4+x1*x5+x3*x5+x4*x5+x0*x6+x3*x6+x4*x6+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
154	x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x5*x6+x0+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
155	x0*x1+x1*x3+x2*x3+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x5*x6+x1+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
156	x0*x1+x0*x3+x0*x4+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x1+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
157	x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x0+x1+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
158	x0*x2+x0*x4+x1*x4+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x4*x6+x5*x6+x2+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
159	x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x1*x4+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x4*x6+x5*x6+x2+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
160	x1*x3+x2*x3+x1*x4+x1*x5+x3*x5+x4*x5+x1*x6+x2*x6+x0+x1+x2+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
161	x0*x2+x1*x2+x1*x3+x0*x4+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x0+x1	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
162	x1*x3+x2*x3+x2*x4+x3*x4+x1*x5+x3*x5+x4*x5+x1*x6+x2*x6+x4*x6+x1+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
163	x0*x2+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x5*x6+x0+x1+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
164	x0*x1+x0*x3+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x0+x1+x2+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
165	x0*x1+x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x1*x4+x1*x5+x3*x5+x4*x5+x0*x6+x3*x6+x4*x6+x1+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
166	x0*x2+x1*x2+x0*x3+x2*x3+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x1*x6+x2*x6+x0+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
167	x0*x2+x0*x3+x1*x3+x2*x3+x0*x4+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x1+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
168	x0*x2+x0*x3+x1*x3+x2*x3+x0*x5+x1*x5+x3*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x2+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
169	x0*x1+x0*x2+x1*x2+x0*x3+x2*x3+x2*x4+x3*x4+x2*x5+x4*x5+x0*x6+x2*x6+x4*x6+x5*x6+x1+x4+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
170	x0*x1+x1*x3+x2*x3+x0*x5+x1*x5+x3*x5+x0*x6+x2*x6+x4*x6+x5*x6+x2+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
